Creationtime,Einddatum,Einddatumgepland,Hoofdzaak_id,Zaak_id,Zaaknummer,Omschrijving,Registratiedatum,Startdatum,Toelichting,UiterlijkeEinddatumAfdoening,VerantwoordelijkeOrganisatie,VertrouwelijkheidAanduiding,Zaaktype_id,When,Change
2023-11-09 07:22:51.539,2024-04-16,2024-01-04,,d3d2185c-1190-4050-b5c9-d435369c4432,Z2023-00000186,omschrijving 2,2023-11-09,2023-11-09,toelichting 2,2024-01-04,805307631,Openbaar,6707f40c-de2c-47b3-853b-6f1d07236d8a,2025-07-06 11:41:13.936,insert
2023-11-17 12:34:07.097,2024-04-16,2023-11-18,,cf04357a-f404-4630-a2a1-d2ea9b47538a,Z2023-00000188,omschrijving 3,2023-11-17,2023-11-17,toelichting 3,2023-11-18,805307631,Openbaar,ab3a9ea9-a6c9-47bf-b1ba-ce118b824c63,2025-07-06 11:41:14.534,insert
2024-01-30 17:50:50.173,2025-05-28,2024-02-13,,f9f8d375-4ec3-430b-8523-866f85270e68,Z2024-00000006,omschrijving 4,2024-01-30,2024-01-30,toelichting 4,2024-02-27,805307631,Openbaar,4fdc356e-6d07-4557-93f3-470279094c33,2025-07-06 11:41:20.958,insert
2023-06-14 12:25:39.370,2024-11-20,2023-06-29,,3fd2f56b-261c-4452-b444-08373547e7fb,Z2023-00000084,omschrijving 5,2023-06-14,2023-06-15,toelichting 5,2023-07-13,805307631,Openbaar,b1d17839-49ea-4759-9490-07b2fc49dabe,2025-07-06 11:41:22.503,insert
2023-08-10 10:51:24.806,2025-05-21,2023-10-05,,9b9e0643-2c2c-4b43-96bf-ac4d7429bf9a,Z2023-00000111,omschrijving 6,2023-08-10,2023-08-10,toelichting 6,2023-10-05,805307631,Openbaar,941426f1-967b-4b9c-837b-79491fa2920b,2025-07-06 11:41:25.039,insert
2023-07-25 11:51:48.329,2023-08-15,2023-09-19,,b275d69f-af21-4801-9023-3f10b310ad62,Z2023-00000101,omschrijving 7,2023-07-25,2023-07-25,toelichting 7,2023-09-19,805307631,Openbaar,49d0e580-2902-4afe-a747-5d8889632b93,2025-07-06 11:41:25.127,insert
2023-01-12 00:00:07.188,2023-08-15,2023-01-25,,3a68af50-be03-4a3c-964e-661f0d6d99e0,Z2023-00000014,omschrijving 8,2023-01-11,2023-01-11,toelichting 8,2023-02-08,805307631,Openbaar,50a7ce1a-fe1a-4e21-a717-b8cc774428a0,2025-07-06 11:41:25.127,insert
2023-01-12 10:51:58.468,2023-08-15,2023-02-09,,62575205-16e9-4804-bf1e-35951fd3f272,Z2023-00000015,omschrijving 9,2023-01-12,2023-01-12,toelichting 9,2023-02-09,805307631,Openbaar,26705253-e075-4c66-8a87-ae15689d620a,2025-07-06 11:41:25.127,insert
2023-08-15 08:58:45.766,2023-08-15,2023-09-12,,dea03eff-a0a3-48d7-a5e1-f2b5222305ec,Z2023-00000112,omschrijving 10,2023-08-15,2023-08-15,toelichting 10,2023-09-12,805307631,Openbaar,b0d6e6a8-5133-42ca-a7a0-5e98597a1bf2,2025-07-06 11:41:25.127,insert
2023-08-03 12:27:07.629,2023-08-15,2023-08-31,,fe246df6-2d42-4667-b0b8-7fffe545077d,Z2023-00000110,omschrijving 11,2023-08-03,2023-08-03,toelichting 11,2023-08-31,805307631,Openbaar,68297a97-56da-4fab-904a-98fe8e8dc06f,2025-07-06 11:41:25.127,insert
2023-08-03 12:22:02.742,2023-08-15,2023-08-31,,e36b1c8c-d1ef-454a-a6b1-a5a697d1c497,Z2023-00000109,omschrijving 12,2023-08-03,2023-08-03,toelichting 12,2023-08-31,805307631,Openbaar,4b714e5f-cb28-4ef8-ae60-86932a728c92,2025-07-06 11:41:25.127,insert
2023-08-15 09:57:06.170,2025-05-21,2023-09-12,,aa961495-0a11-4922-be41-5f93ec4a03d9,Z2023-00000113,omschrijving 13,2023-08-15,2023-08-15,toelichting 13,2023-09-12,805307631,Openbaar,b0d6e6a8-5133-42ca-a7a0-5e98597a1bf2,2025-07-06 11:41:25.127,insert
2023-06-08 12:10:20.571,2023-08-15,2023-08-31,,ab036bc0-8428-4dc7-8adb-edefafb051ef,Z2023-00000080,omschrijving 14,2023-06-08,2023-06-08,toelichting 14,2023-08-31,805307631,Openbaar,6eca45f6-d417-4f1b-93da-c59eec297e44,2025-07-06 11:41:25.127,insert
2023-04-25 11:13:07.725,2023-08-15,2023-06-20,,91adbc31-1a8e-4b95-ae80-abae3e703414,Z2023-00000071,omschrijving 15,2023-04-25,2023-04-25,toelichting 15,2023-06-20,805307631,Openbaar,94159c37-9a2b-4a1c-8d53-de8453f4f5cd,2025-07-06 11:41:25.128,insert
2023-08-15 13:13:33.870,2025-05-21,2023-09-12,,1019ffbc-0f86-4636-b8b2-2ca8748758c5,Z2023-00000114,omschrijving 16,2023-08-15,2023-08-15,toelichting 16,2023-09-12,805307631,Openbaar,b0d6e6a8-5133-42ca-a7a0-5e98597a1bf2,2025-07-06 11:41:25.128,insert
2023-08-17 10:26:46.591,2025-05-21,2023-08-31,,3ee19214-cacb-4fc1-a7d4-1e72bf98727d,Z2023-00000115,omschrijving 17,2023-08-17,2023-08-17,toelichting 17,2023-09-14,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:25.226,insert
2023-08-17 11:49:33.440,2025-05-28,2023-09-14,,fdaaecd9-dcfb-4394-8879-95a6246b0311,Z2023-00000116,omschrijving 18,2023-08-17,2023-08-31,toelichting 18,2023-09-28,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:25.230,insert
2023-08-24 11:36:12.216,2025-05-21,2023-10-19,,018c5995-02f8-4467-94c4-98d08312543c,Z2023-00000117,omschrijving 19,2023-08-24,2023-08-24,toelichting 19,2023-10-19,805307631,Openbaar,d4771f31-881d-442a-b8dc-4bc3adf0d6ef,2025-07-06 11:41:25.532,insert
2023-09-11 10:30:15.005,,2023-09-25,,56c34c5a-a359-495c-8b6a-4b17fb0cc9a6,Z2023-00000128,omschrijving 20,2023-09-11,2023-09-11,toelichting 20,2023-10-09,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:26.850,insert
2023-06-29 09:30:41.235,2023-08-15,2023-07-13,,99d6cf5c-6725-4725-b438-324407e0df28,Z2023-00000092,omschrijving 21,2023-06-29,2023-06-29,toelichting 21,2023-07-27,805307631,Openbaar,9d28978b-0959-4921-8e89-c572945f5957,2025-07-06 11:41:26.989,insert
2023-09-11 10:14:38.817,,2023-09-25,,aee9f456-c75c-40fe-887a-29909cc0b2ba,Z2023-00000127,omschrijving 22,2023-09-11,2023-09-11,toelichting 22,2023-10-09,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:27.025,insert
